uid,脚本处理后的等级,用户刷到的最新等级
828938,0,3
7644508,0,1
6775643,0,1
7432885,0,1
6748980,1,4
3742626,0,1
1808255,1,2
4544598,1,2
6790148,0,1
4414538,0,1
2851596,0,1
3050477,2,3
2924346,2,4
8886624,1,3
9566636,0,1
7866544,1,2
2500314,3,4
2674453,3,5
8878971,1,2
7721575,2,4
2458568,1,2
3701133,1,2
4138529,0,1
6023080,0,1
1716326,2,4
6739395,0,1
8390426,0,2
3286184,0,1
6009842,0,3
3179739,0,1
1648023,0,1
551755,0,2
5365945,0,1
9578418,0,1
9551860,0,2
7759366,0,1
4429620,1,4
6850667,0,1
6925490,0,1
5754881,0,1
5471623,2,5
